"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate","Retransmission","IDK"
"2019","62.720741055","10.10.3.105","10.10.3.102","MPTCP","76","55092  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2010520378 TSecr=1041646983","","","","",""
"2020","62.721491350","10.10.3.62","10.10.3.102","MPTCP","88","45311  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347687584 TSecr=0 WS=128","","","","",""
"2021","62.721657410","10.10.3.105","10.10.3.59","MPTCP","88","39317  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939775711 TSecr=0 WS=128","","","","",""
"2022","62.721706966","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  39317 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401755458 TSecr=939775711 WS=128","0.000049556","","","",""
"2023","62.725471975","10.10.3.105","10.10.3.59","MPTCP","92","39317  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939775712 TSecr=1401755458","0.003765009","","","",""
"2024","62.725604370","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  39317 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401755462 TSecr=939775712","","","","","�\234\223"
"2025","62.726501176","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  55092 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041646983 TSecr=2010520283","","","","",""
"2026","62.727268009","10.10.3.105","10.10.3.59","MPTCP","92","39317  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939775717 TSecr=1401755458","","","","",""
"2027","62.727296235","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  39317 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401755464 TSecr=939775717","","","","",""
"2029","62.728653255","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  55084 [PSH, ACK] Seq=3 Ack=142 Win=65280 Len=1 TSval=1041646986 TSecr=2010520233","","","","",""
"2030","62.728764004","10.10.3.105","10.10.3.102","MPTCP","80","55084  >  5201 [ACK] Seq=142 Ack=4 Win=64256 Len=0 TSval=2010520387 TSecr=1041646986","0.000110749","","","",""
"2032","62.833814800","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  45311 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2494465361 TSecr=3347687584 WS=128","0.112323450","","","",""
"2033","62.842070551","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  55084 [PSH, ACK] Seq=4 Ack=142 Win=65280 Len=1 TSval=1041647087 TSecr=2010520387","","","","",""
