"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"241","6.981231923","10.10.3.105","10.10.3.102","MPTCP","80","48422  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010134916 TSecr=0 WS=128","","","","",""
"242","6.981261216","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  48422 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041261849 TSecr=2010134916 WS=128","0.000029293","","","",""
"243","7.162516851","10.10.3.105","10.10.3.102","MPTCP","129","48422  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2010135150 TSecr=1041261849","0.181255635","","","",""
"244","7.162638964","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  48422 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041262030 TSecr=2010135150","0.000122113","","","",""
"245","7.162694301","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  48422 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041262030 TSecr=2010135150","","","","",""
"246","7.162801241","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  48422 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1041262031 TSecr=2010135150","","","","",""
"248","7.165226255","10.10.3.62","10.10.3.102","MPTCP","88","58439  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347302536 TSecr=0 WS=128","","","","",""
"249","7.165281401","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  58439 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2494080314 TSecr=3347302536 WS=128","0.000055146","","","",""
"250","7.179181117","10.10.3.105","10.10.3.102","MPTCP","88","48422  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2010135149 TSecr=1041261849","","","","",""
"251","7.179212662","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  48422 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1041262047 TSecr=2010135150","","","","",""
"275","7.375623758","10.10.3.105","10.10.3.102","MPTCP","100","48422  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2010135331 TSecr=1041262031","0.212822517","","","",""
"286","7.383170140","10.10.3.105","10.10.3.102","MPTCP","80","48422  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2010135331 TSecr=1041262031","","","","",""
"308","7.399087523","10.10.3.105","10.10.3.102","MPTCP","76","48422  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2010135331 TSecr=1041262031","","","","",""
"319","7.403470961","10.10.3.105","10.10.3.59","MPTCP","88","44827  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939390663 TSecr=0 WS=128","","","","",""
"320","7.403533715","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  44827 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401370649 TSecr=939390663 WS=128","0.000062754","","","",""
"321","7.417032634","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  48422 [ACK] Seq=2 Ack=42 Win=65152 Len=0 TSval=1041262285 TSecr=2010135331","0.041408876","","","",""
"336","7.580949167","10.10.3.105","10.10.3.59","MPTCP","92","44827  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939390904 TSecr=1401370649","0.177415452","","","",""
"337","7.581062051","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  44827 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401370827 TSecr=939390904","","","","","â\234\223"
"338","7.621703028","10.10.3.105","10.10.3.102","MPTCP","196","48422  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2010135585 TSecr=1041262285","","","","",""
"339","7.621758902","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  48422 [ACK] Seq=2 Ack=142 Win=65152 Len=0 TSval=1041262489 TSecr=2010135585","0.000055874","","","",""
"340","7.621905551","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  48422 [PSH, ACK] Seq=2 Ack=142 Win=65280 Len=1 TSval=1041262490 TSecr=2010135585","","","","",""
"352","7.792126595","10.10.3.105","10.10.3.102","MPTCP","80","48428  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010135790 TSecr=0 WS=128","","","","",""
"353","7.792187592","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  48428 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041262660 TSecr=2010135790 WS=128","0.000060997","","","",""
"354","7.823570642","10.10.3.105","10.10.3.102","MPTCP","80","48422  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2010135833 TSecr=1041262490","0.201665091","","","",""
"365","7.974091436","10.10.3.105","10.10.3.102","MPTCP","88","48428  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2010135961 TSecr=1041262660","0.181903844","","","",""
"366","7.974219650","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Window Update] 5201  >  48428 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1041262842 TSecr=2010135961","","","","","â\234\223"
"367","7.975848811","10.10.3.62","10.10.3.102","MPTCP","88","41929  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347303348 TSecr=0 WS=128","","","","",""
"368","7.975871401","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  41929 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2494081125 TSecr=3347303348 WS=128","0.000022590","","","",""
"372","8.038344031","10.10.3.105","10.10.3.102","MPTCP","129","48428  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2010135961 TSecr=1041262660","","","","",""
"373","8.038376458","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  48428 [ACK] Seq=1 Ack=38 Win=65280 Len=0 TSval=1041262906 TSecr=2010135961","0.000032427","","","",""
"374","8.039571942","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  48422 [PSH, ACK] Seq=3 Ack=142 Win=65280 Len=1 TSval=1041262907 TSecr=2010135833","","","","",""
"388","8.152621385","10.10.3.105","10.10.3.102","MPTCP","76","48428  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2010136142 TSecr=1041262842","","","","",""
"389","8.156070871","10.10.3.105","10.10.3.59","MPTCP","88","50927  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939391474 TSecr=0 WS=128","","","","",""
"390","8.156138795","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  50927 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401371402 TSecr=939391474 WS=128","0.000067924","","","",""
"392","8.180874094","10.10.3.102","10.10.3.62","MPTCP","92","[TCP Retransmission] 5201  >  58439 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2494081330 TSecr=3347302536 WS=128","","","","â\234\223","â\234\223"
"397","8.241048283","10.10.3.59","10.10.3.105","MPTCP","97","5201  >  44827 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=1 TSval=1401371487 TSecr=939390904","","","","",""
"399","8.271075048","10.10.3.105","10.10.3.102","MPTCP","80","48422  >  5201 [ACK] Seq=142 Ack=4 Win=64256 Len=0 TSval=2010136208 TSecr=1041262907","0.231503106","","","",""
"400","8.271129281","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  48422 [PSH, ACK] Seq=4 Ack=142 Win=65280 Len=1 TSval=1041263139 TSecr=2010136208","","","","",""
"406","8.360591704","10.10.3.105","10.10.3.59","MPTCP","92","50927  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939391668 TSecr=1401371402","0.204452909","","","",""
"407","8.360710114","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  50927 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401371606 TSecr=939391668","","","","","â\234\223"
"408","8.374911376","10.10.3.62","10.10.3.102","MPTCP","88","[TCP Retransmission] [TCP Port numbers reused] 58439  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347303554 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"409","8.374957577","10.10.3.102","10.10.3.62","MPTCP","92","[TCP Retransmission] 5201  >  58439 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2494081524 TSecr=3347302536 WS=128","0.000046201","","","â\234\223","â\234\223"
"416","8.427343279","10.10.3.105","10.10.3.102","MPTCP","2940","[TCP Previous segment not captured] 48428  >  5201 [PSH, ACK] Seq=8582 Ack=1 Win=64256 Len=2848 TSval=2010136439 TSecr=1041262906","","â\234\223","","","â\234\223"
"417","8.427384250","10.10.3.102","10.10.3.105","MPTCP","92","5201  >  48428 [ACK] Seq=1 Ack=38 Win=65280 Len=0 TSval=1041263295 TSecr=2010136142 SLE=8582 SRE=11430","","","","",""
"418","8.462267732","10.10.3.105","10.10.3.102","MPTCP","80","48422  >  5201 [ACK] Seq=142 Ack=5 Win=64256 Len=0 TSval=2010136439 TSecr=1041263139","0.191138451","","","",""
"419","8.468079708","10.10.3.105","10.10.3.59","MPTCP","80","44827  >  5201 [ACK] Seq=1 Ack=2 Win=64256 Len=0 TSval=939391747 TSecr=1401371487","0.227031425","","","",""
"420","8.477487266","10.10.3.105","10.10.3.102","MPTCP","2940","[TCP Out-Of-Order] 48428  >  5201 [PSH, ACK] Seq=2886 Ack=1 Win=64256 Len=2848 TSval=2010136439 TSecr=1041262906","","","","","â\234\223"
"421","8.477509205","10.10.3.102","10.10.3.105","MPTCP","92","[TCP Dup ACK 373#1] 5201  >  48428 [ACK] Seq=1 Ack=38 Win=65280 Len=0 TSval=1041263345 TSecr=2010136142 SLE=2886 SRE=5734","","","â\234\223","","â\234\223"
"422","8.483365937","10.10.3.105","10.10.3.102","MPTCP","2940","48428  >  5201 [PSH, ACK] Seq=11430 Ack=1 Win=64256 Len=2848 TSval=2010136439 TSecr=1041262906","","","","",""
"423","8.483382390","10.10.3.102","10.10.3.105","MPTCP","92","[TCP Dup ACK 373#2] 5201  >  48428 [ACK] Seq=1 Ack=38 Win=65280 Len=0 TSval=1041263351 TSecr=2010136142 SLE=8582 SRE=14278","","","â\234\223","","â\234\223"
"424","8.517042663","10.10.3.105","10.10.3.102","MPTCP","2940","[TCP Out-Of-Order] 48428  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=64256 Len=2848 TSval=2010136439 TSecr=1041262906","","","","","â\234\223"
"425","8.517069336","10.10.3.102","10.10.3.105","MPTCP","92","5201  >  48428 [ACK] Seq=1 Ack=5734 Win=61440 Len=0 TSval=1041263385 TSecr=2010136439 SLE=8582 SRE=14278","0.039582070","","","",""
"427","8.519837912","10.10.3.105","10.10.3.102","MPTCP","2940","[TCP Out-Of-Order] 48428  >  5201 [PSH, ACK] Seq=5734 Ack=1 Win=64256 Len=2848 TSval=2010136439 TSecr=1041262906","","","","","â\234\223"
"428","8.519860174","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  48428 [ACK] Seq=1 Ack=14278 Win=59520 Len=0 TSval=1041263388 TSecr=2010136439","0.036494237","","","",""
"430","8.596580296","10.10.3.105","10.10.3.102","MPTCP","2940","48428  >  5201 [PSH, ACK] Seq=14278 Ack=1 Win=64256 Len=2848 TSval=2010136596 TSecr=1041263295","","","","",""
"431","8.596630653","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  48428 [ACK] Seq=1 Ack=17126 Win=63488 Len=0 TSval=1041263464 TSecr=2010136596","0.000050357","","","",""
