"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"242","9.152632588","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  40493 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2491647845 TSecr=3344870067 WS=128","0.000034649","","","",""
"243","9.152760892","10.10.3.105","10.10.3.59","MPTCP","88","40057  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=936958194 TSecr=0 WS=128","","","","",""
"244","9.152776366","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  40057 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1398937942 TSecr=936958194 WS=128","0.000015474","","","",""
"245","9.154305216","10.10.3.62","10.10.3.102","MPTCP","92","40493  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3344870070 TSecr=2491647845","0.001672628","","","",""
"246","9.154324542","10.10.3.105","10.10.3.59","MPTCP","92","40057  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=936958196 TSecr=1398937942","0.001548176","","","",""
"247","9.154359912","10.10.3.102","10.10.3.62","MPTCP","80","[TCP Window Update] 5201  >  40493 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=2491647847 TSecr=3344870070","","","","","â\234\223"
"248","9.154363902","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  40057 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1398937944 TSecr=936958196","","","","","â\234\223"
"252","9.193572613","10.10.3.105","10.10.3.102","MPTCP","80","60436  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2007702905 TSecr=1038829561","0.043542075","","","",""
"253","9.193619316","10.10.3.102","10.10.3.105","MPTCP","98","5201  >  60436 [PSH, ACK] Seq=3 Ack=142 Win=65280 Len=2 TSval=1038829605 TSecr=2007702905","","","","",""
"254","9.193716563","10.10.3.105","10.10.3.102","MPTCP","80","60436  >  5201 [ACK] Seq=142 Ack=5 Win=64256 Len=0 TSval=2007702905 TSecr=1038829605","0.000097247","","","",""
"255","9.193844904","10.10.3.105","10.10.3.102","MPTCP","7212","60442  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=64256 Len=7120 TSval=2007702905 TSecr=1038829562","","","","",""
"256","9.193870140","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=7158 Win=60672 Len=0 TSval=1038829605 TSecr=2007702905","0.000025236","","","",""
"257","9.193916138","10.10.3.105","10.10.3.102","MPTCP","7212","60442  >  5201 [PSH, ACK] Seq=7158 Ack=1 Win=64256 Len=7120 TSval=2007702905 TSecr=1038829562","","","","",""
"258","9.193930535","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=14278 Win=55680 Len=0 TSval=1038829605 TSecr=2007702905","0.000014397","","","",""
"259","9.194107055","10.10.3.105","10.10.3.102","MPTCP","10060","60442  >  5201 [PSH, ACK] Seq=14278 Ack=1 Win=64256 Len=9968 TSval=2007702905 TSecr=1038829605","","","","",""
"260","9.194120006","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=24246 Win=58752 Len=0 TSval=1038829605 TSecr=2007702905","0.000012951","","","",""
"261","9.194181469","10.10.3.105","10.10.3.102","MPTCP","7212","60442  >  5201 [PSH, ACK] Seq=24246 Ack=1 Win=64256 Len=7120 TSval=2007702905 TSecr=1038829605","","","","",""
"262","9.194191877","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=31366 Win=53760 Len=0 TSval=1038829605 TSecr=2007702905","0.000010408","","","",""
"263","9.194286320","10.10.3.105","10.10.3.102","MPTCP","11484","60442  >  5201 [PSH, ACK] Seq=31366 Ack=1 Win=64256 Len=11392 TSval=2007702905 TSecr=1038829605","","","","",""
"264","9.194300108","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=42758 Win=86912 Len=0 TSval=1038829605 TSecr=2007702905","0.000013788","","","",""
"265","9.194446235","10.10.3.105","10.10.3.102","MPTCP","18604","60442  >  5201 [PSH, ACK] Seq=42758 Ack=1 Win=64256 Len=18512 TSval=2007702905 TSecr=1038829605","","","","",""
"266","9.194461344","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=61270 Win=123904 Len=0 TSval=1038829606 TSecr=2007702905","0.000015109","","","",""
"267","9.194498456","10.10.3.105","10.10.3.102","MPTCP","1516","60442  >  5201 [ACK] Seq=61270 Ack=1 Win=64256 Len=1424 TSval=2007702905 TSecr=1038829605","","","","",""
"268","9.194509119","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=62694 Win=126848 Len=0 TSval=1038829606 TSecr=2007702905","0.000010663","","","",""
"269","9.194551330","10.10.3.105","10.10.3.102","MPTCP","2716","60442  >  5201 [PSH, ACK] Seq=62694 Ack=1 Win=64256 Len=2624 TSval=2007702905 TSecr=1038829605","","","","",""
"270","9.194568926","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=65318 Win=132096 Len=0 TSval=1038829606 TSecr=2007702905","0.000017596","","","",""
"271","9.194794762","10.10.3.105","10.10.3.102","MPTCP","28572","60442  >  5201 [PSH, ACK] Seq=65318 Ack=1 Win=64256 Len=28480 TSval=2007702905 TSecr=1038829605","","","","",""
"272","9.194812021","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=93798 Win=189056 Len=0 TSval=1038829606 TSecr=2007702905","0.000017259","","","",""
"273","9.194952103","10.10.3.105","10.10.3.102","MPTCP","14332","60442  >  5201 [PSH, ACK] Seq=93798 Ack=1 Win=64256 Len=14240 TSval=2007702906 TSecr=1038829606","","","","",""
"274","9.194964816","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=108038 Win=217472 Len=0 TSval=1038829606 TSecr=2007702906","0.000012713","","","",""
"275","9.195200873","10.10.3.105","10.10.3.102","MPTCP","28572","60442  >  5201 [PSH, ACK] Seq=108038 Ack=1 Win=64256 Len=28480 TSval=2007702906 TSecr=1038829606","","","","",""
"276","9.195217519","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=136518 Win=242304 Len=0 TSval=1038829606 TSecr=2007702906","0.000016646","","","",""
"277","9.195455003","10.10.3.105","10.10.3.102","MPTCP","31068","60442  >  5201 [PSH, ACK] Seq=136518 Ack=1 Win=64256 Len=30976 TSval=2007702906 TSecr=1038829606","","","","",""
"278","9.195472779","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=167494 Win=242304 Len=0 TSval=1038829607 TSecr=2007702906","0.000017776","","","",""
"279","9.195816215","10.10.3.105","10.10.3.102","MPTCP","41388","60442  >  5201 [PSH, ACK] Seq=167494 Ack=1 Win=64256 Len=41296 TSval=2007702906 TSecr=1038829606","","","","",""
"280","9.195836859","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=208790 Win=242304 Len=0 TSval=1038829607 TSecr=2007702906","0.000020644","","","",""
"281","9.196017565","10.10.3.105","10.10.3.102","MPTCP","21452","60442  >  5201 [PSH, ACK] Seq=208790 Ack=1 Win=64256 Len=21360 TSval=2007702907 TSecr=1038829607","","","","",""
"282","9.196034632","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=230150 Win=242304 Len=0 TSval=1038829607 TSecr=2007702907","0.000017067","","","",""
"283","9.196325417","10.10.3.105","10.10.3.102","MPTCP","35052","60442  >  5201 [PSH, ACK] Seq=230150 Ack=1 Win=64256 Len=34960 TSval=2007702907 TSecr=1038829607","","","","",""
"284","9.196349610","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=265110 Win=242304 Len=0 TSval=1038829608 TSecr=2007702907","0.000024193","","","",""
"285","9.196379141","10.10.3.62","10.10.3.102","MPTCP","1516","40493  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=1424 TSval=3344870110 TSecr=2491647847","","","","",""
"286","9.196389398","10.10.3.102","10.10.3.62","MPTCP","80","5201  >  40493 [ACK] Seq=1 Ack=1425 Win=242304 Len=0 TSval=2491647889 TSecr=3344870110","0.000010257","","","",""
"287","9.196602876","10.10.3.62","10.10.3.102","MPTCP","796","40493  >  5201 [PSH, ACK] Seq=1425 Ack=1 Win=64256 Len=704 TSval=3344870110 TSecr=2491647847","","","","",""
"288","9.196612389","10.10.3.102","10.10.3.62","MPTCP","80","5201  >  40493 [ACK] Seq=1 Ack=2129 Win=242304 Len=0 TSval=2491647889 TSecr=3344870110","0.000009513","","","",""
"289","9.196824670","10.10.3.105","10.10.3.59","MPTCP","1516","40057  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=1424 TSval=936958237 TSecr=1398937944","","","","",""
"290","9.196863693","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  40057 [ACK] Seq=1 Ack=1425 Win=240768 Len=0 TSval=1398937986 TSecr=936958237","0.000039023","","","",""
"291","9.196902552","10.10.3.105","10.10.3.59","MPTCP","1180","40057  >  5201 [PSH, ACK] Seq=1425 Ack=1 Win=64256 Len=1088 TSval=936958237 TSecr=1398937944","","","","",""
"292","9.196918630","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  40057 [ACK] Seq=1 Ack=2513 Win=239872 Len=0 TSval=1398937986 TSecr=936958237","0.000016078","","","",""
"293","9.198236895","10.10.3.105","10.10.3.102","MPTCP","2300","60442  >  5201 [PSH, ACK] Seq=265110 Ack=1 Win=64256 Len=2208 TSval=2007702909 TSecr=1038829608","","","","",""
"294","9.198248553","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=267318 Win=240128 Len=0 TSval=1038829609 TSecr=2007702909","0.000011658","","","",""
"295","9.198308234","10.10.3.105","10.10.3.102","MPTCP","348","60442  >  5201 [PSH, ACK] Seq=267318 Ack=1 Win=64256 Len=256 TSval=2007702909 TSecr=1038829609","","","","",""
"296","9.198333713","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=267574 Win=240128 Len=0 TSval=1038829609 TSecr=2007702909","0.000025479","","","",""
"297","9.201780160","10.10.3.62","10.10.3.102","MPTCP","1516","40493  >  5201 [ACK] Seq=2129 Ack=1 Win=64256 Len=1424 TSval=3344870111 TSecr=2491647847","","","","",""
"298","9.201824271","10.10.3.102","10.10.3.62","MPTCP","80","5201  >  40493 [ACK] Seq=1 Ack=3553 Win=240896 Len=0 TSval=2491647894 TSecr=3344870111","0.000044111","","","",""
"299","9.203261016","10.10.3.105","10.10.3.102","MPTCP","860","60442  >  5201 [PSH, ACK] Seq=267574 Ack=1 Win=64256 Len=768 TSval=2007702914 TSecr=1038829609","","","","",""
"300","9.203305372","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=268342 Win=240896 Len=0 TSval=1038829614 TSecr=2007702914","0.000044356","","","",""
"301","9.204549247","10.10.3.105","10.10.3.59","MPTCP","1516","40057  >  5201 [ACK] Seq=2513 Ack=1 Win=64256 Len=1424 TSval=936958237 TSecr=1398937944","","","","",""
"302","9.204592495","10.10.3.59","10.10.3.105","MPTCP","80","5201  >  40057 [ACK] Seq=1 Ack=3937 Win=239360 Len=0 TSval=1398937994 TSecr=936958237","0.000043248","","","",""
"303","9.213664466","10.10.3.62","10.10.3.102","MPTCP","1516","40493  >  5201 [ACK] Seq=3553 Ack=1 Win=64256 Len=1424 TSval=3344870111 TSecr=2491647847","","","","",""
"304","9.213709201","10.10.3.102","10.10.3.62","MPTCP","80","5201  >  40493 [ACK] Seq=1 Ack=4977 Win=239488 Len=0 TSval=2491647906 TSecr=3344870111","0.000044735","","","",""
"306","9.214508277","10.10.3.105","10.10.3.102","MPTCP","108","60442  >  5201 [PSH, ACK] Seq=268342 Ack=1 Win=64256 Len=16 TSval=2007702925 TSecr=1038829614","","","","",""
"307","9.214547785","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=268358 Win=240896 Len=0 TSval=1038829626 TSecr=2007702925","0.000039508","","","",""
"308","9.214754372","10.10.3.105","10.10.3.102","MPTCP","1500","60442  >  5201 [PSH, ACK] Seq=268358 Ack=1 Win=64256 Len=1408 TSval=2007702926 TSecr=1038829626","","","","",""
"309","9.214792147","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  60442 [ACK] Seq=1 Ack=269766 Win=240896 Len=0 TSval=1038829626 TSecr=2007702926","0.000037775","","","",""
"310","9.215774633","10.10.3.105","10.10.3.59","MPTCP","1516","40057  >  5201 [ACK] Seq=3937 Ack=1 Win=64256 Len=1424 TSval=936958237 TSecr=1398937944","","","","",""
