SubflowNo,Subflow1_RTT,Subflow1_packetloss,Subflow1_Bandwidth,Subflow1_Jitter,Subflow2_RTT,Subflow2_packetloss,Subflow2_Bandwidth,Subflow2_Jitter,Subflow3_RTT,Subflow3_packetloss,Subflow3_Bandwidth,Subflow3_Jitter,Subflow1_RTT_Slope,Subflow2_RTT_Slope,Subflow3_RTT_Slope,Subflow1_Bandwidth_Slope,Subflow2_Bandwidth_Slope,Subflow3_Bandwidth_Slope,Subflow1_packetloss_Slope,Subflow2_packetloss_Slope,Subflow3_packetloss_Slope,Subflow1_Jitter_Slope,Subflow2_Jitter_Slope,Subflow3_Jitter_Slope
3.0,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,3.0194e-05,0.0,107421.87499970624,0.0,-0.007542318034090912,0.015301884054545453,1.3724545454545454e-06,-3518108.5357314884,39574.99284467642,4882.812499986648,0.0,0.0,0.0,0.0005152402759966271,0.0,0.0
3.0,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,3.0194e-05,0.0,3046962.9730634145,0.0,-0.007117128816433567,0.01471335005244755,2.111468531468531e-06,-3411179.468449108,38052.87773526579,120571.292233199,0.0,0.0,0.0,0.0003666065399912524,0.0,0.0
3.0,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,0.00549497,0.0,16742.584581896775,0.0010516966315536,-0.006625515701923077,0.013872587192307693,0.000182645967032967,-3234095.544208688,35878.4275789649,86620.64765278723,0.0,0.0,0.0,0.0002646870333948857,0.0,3.4671317523745063e-05
3.0,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,0.002762582,0.0,1664412.7743185482,0.001366194,-0.006127201295604395,0.012947748046153843,0.00021283810989010984,-3030382.9191373186,33486.532407033876,109881.65797606735,0.0,0.0,0.0,0.00019306085686588757,0.0,6.445974713646065e-05
3.0,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,0.004128776,0.0,447418.5892786399,0.0017190897510767,-0.005650116899107143,0.012022908900000004,0.0002612968999999998,-2822210.139862496,31094.637235102895,91829.41861080007,0.0,0.0,0.0,0.0001416773207003919,0.0,9.103312648323179e-05
3.0,0.000588421,0.0,124215.68419119218,0.0112513219850401,0.120229089,0.0,310946.372351029,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,-0.00520625637867647,0.011138871480882351,0.000318094261764706,-2620663.4241742855,28808.26685016886,311162.19918784045,0.0,0.0,0.0,0.0001041704548683216,0.0,0.00010404406683526177
1.0,0.000588421,0.0,10263.455197323008,0.0129924637995172,0.120229089,0.0,310946.372351029,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,-0.004799562759191176,0.010313769889705875,0.0003508357009803922,-2433195.8507572724,26674.321157563765,455583.4760703614,0.0,0.0,0.0,0.00011052792654452445,0.0,0.00011093306380557132
1.0,0.000588421,0.0,137718.75763854812,0.0112522854999999,0.120229089,0.0,310946.372351029,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,-0.004429960872549018,0.009553807897832814,0.000367657137254902,-2256715.9544436047,24708.844861743277,548939.0479866858,0.0,0.0,0.0,8.252077989516195e-05,0.0,0.00011382125354253292
2.0,0.000588421,0.0,137718.75763854812,0.0112522854999999,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,-0.004095456982017543,0.008858985505263157,0.00037389263157894747,-2094761.145169975,18016.192957744166,607094.5250217384,0.0,0.0,0.0,6.117059945306208e-05,0.0,0.00011409141166673912
1.0,0.139791449,0.0,4149.516843225645,0.0174003784999999,0.120229089,0.0,888.8553700240961,0.0,0.00549497,0.0,11029918.654795043,0.0015938929999999,-0.001804625790601503,0.00822620082631579,0.00037309431127819547,-1948748.471208121,12882.7438140056,640792.1650755377,0.0,0.0,0.0,0.0001325715022816322,0.0,0.00011265836384770737
