"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"2253","84.529931728","10.10.3.105","10.10.3.102","MPTCP","80","56478  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010087556 TSecr=0 WS=128","","","","",""
"2254","84.529973138","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  56478 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041214256 TSecr=2010087556 WS=128","0.000041410","","","",""
"2255","84.530128697","10.10.3.105","10.10.3.102","MPTCP","88","56478  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2010087556 TSecr=1041214256","0.000155559","","","",""
"2256","84.530128884","10.10.3.105","10.10.3.102","MPTCP","129","56478  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2010087556 TSecr=1041214256","","","","",""
"2257","84.530192824","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  56478 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041214256 TSecr=2010087556","0.000063940","","","",""
"2258","84.530206312","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  56478 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041214256 TSecr=2010087556","","","","",""
"2259","84.530259922","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  56478 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1041214256 TSecr=2010087556","","","","",""
"2260","84.530278820","10.10.3.105","10.10.3.102","MPTCP","76","56478  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2010087557 TSecr=1041214256","","","","",""
"2261","84.530307310","10.10.3.105","10.10.3.102","MPTCP","80","56478  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2010087557 TSecr=1041214256","0.000047388","","","",""
"2262","84.530449436","10.10.3.105","10.10.3.102","MPTCP","100","56478  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2010087557 TSecr=1041214256","","","","",""
"2263","84.532004962","10.10.3.105","10.10.3.59","MPTCP","88","33143  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939342889 TSecr=0 WS=128","","","","",""
"2264","84.532022720","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  33143 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401322636 TSecr=939342889 WS=128","0.000017758","","","",""
"2265","84.533004874","10.10.3.105","10.10.3.59","MPTCP","92","33143  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939342891 TSecr=1401322636","0.000982154","","","",""
"2266","84.533034224","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  33143 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401322637 TSecr=939342891","","","","","â\234\223"
"2267","84.570926023","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  56478 [ACK] Seq=2 Ack=42 Win=65280 Len=0 TSval=1041214297 TSecr=2010087557","0.040476587","","","",""
"2268","84.571346124","10.10.3.105","10.10.3.102","MPTCP","196","56478  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2010087598 TSecr=1041214297","","","","",""
"2269","84.571399608","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  56478 [ACK] Seq=2 Ack=142 Win=65280 Len=0 TSval=1041214297 TSecr=2010087598","0.000053484","","","",""
"2270","84.571517653","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  56478 [PSH, ACK] Seq=2 Ack=142 Win=65280 Len=1 TSval=1041214297 TSecr=2010087598","","","","",""
"2271","84.571765220","10.10.3.105","10.10.3.102","MPTCP","80","56490  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010087598 TSecr=0 WS=128","","","","",""
"2272","84.571808931","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  56490 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041214298 TSecr=2010087598 WS=128","0.000043711","","","",""
"2274","84.572136666","10.10.3.105","10.10.3.102","MPTCP","88","56490  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2010087598 TSecr=1041214298","0.000327735","","","",""
"2275","84.572137020","10.10.3.105","10.10.3.102","MPTCP","129","56490  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2010087598 TSecr=1041214298","","","","",""
"2276","84.572242049","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  56490 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041214298 TSecr=2010087598","0.000105029","","","",""
"2277","84.572283865","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  56490 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041214298 TSecr=2010087598","","","","",""
"2278","84.572421334","10.10.3.105","10.10.3.102","MPTCP","76","56490  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2010087599 TSecr=1041214298","","","","",""
"2279","84.573084094","10.10.3.105","10.10.3.59","MPTCP","88","60461  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939342931 TSecr=0 WS=128","","","","",""
"2280","84.573128307","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  60461 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401322677 TSecr=939342931 WS=128","0.000044213","","","",""
