No.,Time,Source,Destination,Protocol,Length,Info,RTT,Lost Segement,Duplicate,Retransmission,IDK,Subflow,SubflowNo,packetloss,Time_Diff,Bandwidth,Jitter
1984,62.106883295,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010519765 TSecr=0 WS=128,0.088057339,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0,0.0,0.0
1985,62.194940634,10.10.3.102,10.10.3.105,MPTCP,88,"5201  >  55084 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041646465 TSecr=2010519765 WS=128",0.088057339,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.08805733899999524,999.3488447340517,0.0
1986,62.195521346,10.10.3.105,10.10.3.102,MPTCP,88,55084  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2010519853 TSecr=1041646465,0.000580712,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0005807120000014265,151538.11183475427,0.016834884715416824
1987,62.195521999,10.10.3.105,10.10.3.102,MPTCP,129,"55084  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2010519853 TSecr=1041646465",0.0443190255,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,6.530000007387571e-07,197549770.06747124,0.021869156749999997
1989,62.286128704,10.10.3.102,10.10.3.105,MPTCP,97,"5201  >  55084 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1041646554 TSecr=2010519853",0.090606705,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.09060670499999901,1070.5609480004935,0.02047014522665629
1990,62.286717125,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2010519944 TSecr=1041646554,0.000588421,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0005884210000033363,135957.0783495939,0.014771989115179124
1991,62.286758637,10.10.3.105,10.10.3.102,MPTCP,100,"55084  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2010519945 TSecr=1041646554",0.023091064749999998,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,4.151199999569144e-05,2408941.992926842,0.012443230550810614
1992,62.287041644,10.10.3.62,10.10.3.102,MPTCP,88,44537  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347687149 TSecr=0 WS=128,0.120229089,0,0,0,0,10.10.3.62_10.10.3.102,2.0,0.0,0.0002830070000001683,310946.372351029,0.0
1993,62.288174145,10.10.3.102,10.10.3.105,MPTCP,84,5201  >  55084 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1041646554 TSecr=2010519853,0.023092992,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0011325010000007296,74172.11993627014,0.01093265123824767
1994,62.288785984,10.10.3.105,10.10.3.102,MPTCP,76,55084  >  5201 [ACK] Seq=42 Ack=2 Win=64256 Len=0 TSval=2010519946 TSecr=1041646554,0.000588421,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0006118390000011686,124215.68419119218,0.011251321985040152
1995,62.289605184,10.10.3.105,10.10.3.59,MPTCP,88,36471  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939775278 TSecr=0 WS=128,3.0194e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.0008192000000022404,107421.87499970623,0.0
1996,62.289635378,10.10.3.59,10.10.3.105,MPTCP,92,"5201  >  36471 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401755026 TSecr=939775278 WS=128",3.0194e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,3.0193999997152332e-05,3046962.9730634145,0.0
1997,62.295130348,10.10.3.105,10.10.3.59,MPTCP,92,36471  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939775280 TSecr=1401755026,0.00549497,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.005494970000000876,16742.584581896775,0.0010516966315536687
1998,62.295178413,10.10.3.59,10.10.3.105,MPTCP,80,[TCP Window Update] 5201  >  36471 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401755032 TSecr=939775280,0.002762582,0,0,0,1,10.10.3.59_10.10.3.105,3.0,0.0,4.8065000001429325e-05,1664412.7743185482,0.001366194
1999,62.295384037,10.10.3.105,10.10.3.59,MPTCP,92,[TCP Dup ACK 1997#1] 36471  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939775285 TSecr=1401755026,0.004128776,0,1,0,1,10.10.3.105_10.10.3.59,3.0,0.0,0.00020562399999590752,447418.5892786399,0.0017190897510767143
2000,62.29539129,10.10.3.59,10.10.3.105,MPTCP,80,[TCP Dup ACK 1996#1] 5201  >  36471 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401755032 TSecr=939775285,0.00549497,0,1,0,1,10.10.3.59_10.10.3.105,3.0,0.0,7.252999999707299e-06,11029918.654795045,0.0015938929999999999
2001,62.303185936,10.10.3.102,10.10.3.105,MPTCP,80,[TCP Keep-Alive] 5201  >  55084 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041646554 TSecr=2010519853,0.000588421,0,0,0,1,10.10.3.102_10.10.3.105,1.0,0.0,0.007794646000000682,10263.455197323008,0.012992463799517245
2002,62.30376683,10.10.3.105,10.10.3.102,MPTCP,80,[TCP Keep-Alive ACK] 55084  >  5201 [ACK] Seq=42 Ack=2 Win=64256 Len=0 TSval=2010519961 TSecr=1041646554,0.000588421,0,0,0,1,10.10.3.105_10.10.3.102,1.0,0.0,0.0005808940000022744,137718.75763854812,0.01125228549999996
2004,62.407270733,10.10.3.102,10.10.3.62,MPTCP,92,"5201  >  44537 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2494464927 TSecr=3347687149 WS=128",0.120229089,0,0,0,0,10.10.3.102_10.10.3.62,2.0,0.0,0.10350390299999646,888.8553700240961,0.0
2005,62.426550086,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55084 [ACK] Seq=2 Ack=42 Win=65280 Len=0 TSval=1041646689 TSecr=2010519945,0.139791449,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.01927935300000172,4149.516843225645,0.017400378499999977
2006,62.427083508,10.10.3.105,10.10.3.102,MPTCP,196,"55084  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2010520085 TSecr=1041646689",0.07018993500000001,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0005334220000037249,367438.9132781013,0.03331918812224113
2007,62.520079838,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55084 [ACK] Seq=2 Ack=142 Win=65280 Len=0 TSval=1041646786 TSecr=2010520085,0.09299633,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0929963299999983,860.2490012240426,0.0405657094550134
2008,62.530975349,10.10.3.102,10.10.3.105,MPTCP,97,"5201  >  55084 [PSH, ACK] Seq=2 Ack=142 Win=65280 Len=1 TSval=1041646786 TSecr=2010520085",0.1163938895,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.010895511000001079,8902.749031228584,0.03455405273354887
2009,62.531634495,10.10.3.105,10.10.3.102,MPTCP,80,55092  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2010520189 TSecr=0 WS=128,0.10469510975,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0006591459999967242,121369.16555724769,0.0197055608956545
2012,62.574871494,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2010520233 TSecr=1041646786,0.043896145,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.04323699900000122,1850.2671751107828,0.015291325287781012
2014,62.624492176,10.10.3.102,10.10.3.105,MPTCP,88,"5201  >  55092 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1041646890 TSecr=2010520189 WS=128",0.092857681,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.04962068199999692,1773.4540609499375,0.017878195004105844
2015,62.624827998,10.10.3.105,10.10.3.102,MPTCP,88,55092  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2010520283 TSecr=1041646890,0.000335822,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0003358220000038159,262043.58260923962,0.01925996787061578
2016,62.624828593,10.10.3.105,10.10.3.102,MPTCP,129,"55092  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2010520283 TSecr=1041646890",0.034356367500000005,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,5.949999959398156e-07,216806724.1685299,0.022187976351961212
2018,62.720488116,10.10.3.102,10.10.3.105,MPTCP,84,5201  >  55092 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041646983 TSecr=2010520283,0.095659523,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.09565952300000191,878.1143514587494,0.019592925443742124
2019,62.720741055,10.10.3.105,10.10.3.102,MPTCP,76,55092  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2010520378 TSecr=1041646983,0.0479976725,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0002529389999992304,300467.70169974276,0.009512726346154576
2020,62.72149135,10.10.3.62,10.10.3.102,MPTCP,88,45311  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3347687584 TSecr=0 WS=128,0.120229089,0,0,0,0,10.10.3.62_10.10.3.102,2.0,0.0,0.0007502950000031205,117287.2003673675,0.0
2021,62.72165741,10.10.3.105,10.10.3.59,MPTCP,88,39317  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=939775711 TSecr=0 WS=128,0.00549497,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.0001660599999979695,529928.941352981,0.0013080311700540625
2022,62.721706966,10.10.3.59,10.10.3.105,MPTCP,92,"5201  >  39317 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1401755458 TSecr=939775711 WS=128",4.9556e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,4.955600000045024e-05,1856485.5920406033,0.0007873776214771807
2023,62.725471975,10.10.3.105,10.10.3.59,MPTCP,92,39317  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939775712 TSecr=1401755458,0.003765009,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.0037650089999985425,24435.532557833358,0.0009277825409319472
2024,62.72560437,10.10.3.59,10.10.3.105,MPTCP,80,[TCP Window Update] 5201  >  39317 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401755462 TSecr=939775712,0.003268636,0,0,0,1,10.10.3.59_10.10.3.105,3.0,0.0,0.00013239500000139515,604252.4264447825,0.0009639332933785181
2025,62.726501176,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55092 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1041646983 TSecr=2010520283,0.07182859775,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0008968060000000833,89205.4691873076,0.015620262557502217
2026,62.727268009,10.10.3.105,10.10.3.59,MPTCP,92,39317  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=939775717 TSecr=1401755458,0.00283614575,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.0007668330000001333,119973.97086456112,0.0005583425118823591
2027,62.727296235,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1401755464 TSecr=939775717,0.003765009,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,2.822599999774411e-05,2834266.279543463,0.0004316191411560544
2029,62.728653255,10.10.3.102,10.10.3.105,MPTCP,97,"5201  >  55084 [PSH, ACK] Seq=3 Ack=142 Win=65280 Len=1 TSval=1041646986 TSecr=2010520233",0.095659523,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0013570200000003751,71480.15504559489,0.023001214907432264
2030,62.728764004,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [ACK] Seq=142 Ack=4 Win=64256 Len=0 TSval=2010520387 TSecr=1041646986,0.000110749,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.00011074900000096477,722354.1521756684,0.019457889326518638
2032,62.8338148,10.10.3.102,10.10.3.62,MPTCP,92,"5201  >  45311 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2494465361 TSecr=3347687584 WS=128",0.11232345,0,0,0,0,10.10.3.102_10.10.3.62,2.0,0.0,0.10505079600000045,875.7668052320099,0.0009882048750000014
2033,62.842070551,10.10.3.102,10.10.3.105,MPTCP,97,"5201  >  55084 [PSH, ACK] Seq=4 Ack=142 Win=65280 Len=1 TSval=1041647087 TSecr=2010520387",0.047885135999999995,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.008255751000000089,11749.385367848297,0.019503832112346995
2034,62.84217458,10.10.3.105,10.10.3.102,MPTCP,80,55084  >  5201 [ACK] Seq=142 Ack=5 Win=64256 Len=0 TSval=2010520500 TSecr=1041647087,0.000104029,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.00010402899999917281,769016.3319904654,0.03083888487015623
2035,62.842268543,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=38 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983",0.000107389,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,9.396300000474866e-05,31288911.591279753,0.03083975241842566
2036,62.842268797,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=2886 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983",0.000105709,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,2.5399999969977216e-07,11574803163.287708,0.022872293749573096
2037,62.842351063,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=5734 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983",0.000104029,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,8.226599999971995e-05,35737728.83098739,0.011945276828759259
2038,62.842351274,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=8582 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983",0.000104029,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,2.109999996946499e-07,13933649309.263702,1.6084783152304888e-06
2039,62.842405545,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=11430 Ack=1 Win=64256 Len=2848 TSval=2010520500 TSecr=1041646983",0.000104029,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,5.427099999621987e-05,54172578.3605384,8.400014824946837e-07
2042,62.931562976,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55092 [ACK] Seq=1 Ack=11430 Win=57344 Len=0 TSval=1041647201 TSecr=2010520500,0.089211702,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.08915743100000384,897.2892007172858,0.011138459125000102
2043,62.931982594,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=14278 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201",0.044657865500000005,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.0004196179999951255,7006372.462654492,0.02132852540982193
2044,62.932071472,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=17126 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201",0.06693478375,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,8.887799999968138e-05,33079052.184011113,0.02875937779569138
2045,62.932071691,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=19974 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201",0.089211702,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,2.1900000035657285e-07,13424657512.38873,0.02875937779569136
2046,62.932127848,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=22822 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201",0.089211702,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,5.6157000003054236e-05,52353223.99416103,0.021328525409821875
2047,62.932215288,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=25670 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201",0.089211702,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,8.744000000149299e-05,33623055.809123985,0.011138459124999963
2048,62.932287957,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=28518 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201",0.089211702,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,7.266899999791576e-05,40457416.50613498,0.0
2049,62.932355033,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=31366 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201",0.089211702,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,6.707600000055436e-05,43830878.40622133,0.0
2050,62.932395673,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=34214 Ack=1 Win=64256 Len=2848 TSval=2010520590 TSecr=1041647201",0.089211702,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,4.064000000170154e-05,72342519.6820105,0.0
2051,62.933829316,10.10.3.105,10.10.3.59,MPTCP,1516,39317  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=1424 TSval=939775922 TSecr=1401755464,0.003765009,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.0014336429999985967,1057445.961094557,0.0004477158698144177
2052,62.933862727,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=1425 Win=92672 Len=0 TSval=1401755670 TSecr=939775922,3.3411e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,3.341099999687458e-05,2394420.999296147,0.0005374471384793476
2053,62.936141911,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55092 [ACK] Seq=1 Ack=14278 Win=63488 Len=0 TSval=1041647201 TSecr=2010520500,0.093736366,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0022791840000024877,35100.281504219354,0.0005655829999990999
2054,62.936534975,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=37062 Ack=1 Win=64256 Len=2848 TSval=2010520594 TSecr=1041647201",0.091474034,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.00039306400000072017,7479697.962659041,0.0010830089917718316
2055,62.936583668,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=39910 Ack=1 Win=64256 Len=2848 TSval=2010520594 TSecr=1041647201",0.0926052,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,4.869299999654686e-05,60378288.46463546,0.0014603290265983323
2056,62.940541036,10.10.3.105,10.10.3.59,MPTCP,1516,39317  >  5201 [ACK] Seq=1425 Ack=1 Win=64256 Len=1424 TSval=939775922 TSecr=1401755464,0.0018992100000000001,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.003957368000001793,383082.89752161363,0.000893183270112333
2057,62.940584108,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=2849 Win=104064 Len=0 TSval=1401755677 TSecr=939775922,4.3072e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,4.3072000003974154e-05,1857355.1261287748,0.001203432895792081
2058,62.944067744,10.10.3.105,10.10.3.59,MPTCP,700,"39317  >  5201 [PSH, ACK] Seq=2849 Ack=1 Win=64256 Len=608 TSval=939775922 TSecr=1401755464",3.8241499999999996e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.003483635999998569,200939.4781774811,0.0012021856663066047
2059,62.94409682,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=3457 Win=104064 Len=0 TSval=1401755681 TSecr=939775922,2.9076e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,2.9075999997019153e-05,2751410.0979571305,0.0008911539490952389
2060,62.944948549,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55092 [ACK] Seq=1 Ack=8582 Win=59392 Len=0 TSval=1041647201 TSecr=2010520500,0.093736366,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0008517290000042976,93926.58932547364,0.0014603290265983386
2061,62.948145475,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55092 [ACK] Seq=1 Ack=2886 Win=63488 Len=0 TSval=1041647201 TSecr=2010520500,0.093736366,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0031969259999939936,25024.038717239717,0.0010830089917718444
2062,62.949661704,10.10.3.105,10.10.3.59,MPTCP,1516,39317  >  5201 [ACK] Seq=3457 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670,3.6074e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.0015162290000034773,999848.9674030264,0.00046578484052765476
2063,62.949687943,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=4881 Win=104064 Len=0 TSval=1401755686 TSecr=939775924,2.6239e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,2.6239000000316537e-05,3048896.6804769584,2.7900403890864683e-06
2064,62.954235422,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55092 [ACK] Seq=1 Ack=5734 Win=61440 Len=0 TSval=1041647201 TSecr=2010520500,0.093736366,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.004547479000002852,17592.164801629613,0.0005655829999991255
2065,62.961532748,10.10.3.105,10.10.3.59,MPTCP,1516,39317  >  5201 [ACK] Seq=4881 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670,2.76575e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.007297325999999771,207747.3310086527,4.336768540368927e-06
2066,62.961576501,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=6305 Win=104064 Len=0 TSval=1401755698 TSecr=939775924,4.3753e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,4.3752999999924214e-05,1828446.0494169216,3.446574476597534e-06
2067,62.973390251,10.10.3.105,10.10.3.59,MPTCP,1516,39317  >  5201 [ACK] Seq=6305 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670,3.4996e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.011813749999994627,128325.04496884474,3.008027142397525e-06
2068,62.973405315,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=7729 Win=104064 Len=0 TSval=1401755710 TSecr=939775924,1.5064e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,1.5064000002951161e-05,5310674.4546154635,3.0277420798179332e-06
2069,62.98526219,10.10.3.105,10.10.3.59,MPTCP,1516,39317  >  5201 [ACK] Seq=7729 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670,2.94085e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.011856874999999434,127858.31005219102,2.3227105793089207e-06
2070,62.985283945,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=9153 Win=104064 Len=0 TSval=1401755722 TSecr=939775924,2.1755e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,2.1754999998790936e-05,3677315.5598458336,4.732637558841631e-06
2072,62.999040942,10.10.3.105,10.10.3.59,MPTCP,1516,"39317  >  5201 [PSH, ACK] Seq=9153 Ack=1 Win=64256 Len=1424 TSval=939775924 TSecr=1401755670",1.84095e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.013756997000001547,110198.46845934687,6.112078129002024e-06
2073,62.999059946,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=10577 Win=104064 Len=0 TSval=1401755736 TSecr=939775924,1.9004e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,1.9004000002098564e-05,4209640.075308661,5.0257514589262865e-06
2074,63.009089707,10.10.3.105,10.10.3.59,MPTCP,1516,39317  >  5201 [ACK] Seq=10577 Ack=1 Win=64256 Len=1424 TSval=939775933 TSecr=1401755670,2.0379500000000004e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.010029760999998416,151150.16200288714,2.396245861112659e-06
2075,63.009110837,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=12001 Win=104064 Len=0 TSval=1401755746 TSecr=939775933,2.113e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,2.113000000036891e-05,3786086.133393435,9.047227779958309e-07
2076,63.021420567,10.10.3.105,10.10.3.59,MPTCP,1516,39317  >  5201 [ACK] Seq=12001 Ack=1 Win=64256 Len=1424 TSval=939775933 TSecr=1401755670,2.0067e-05,0,0,0,0,10.10.3.105_10.10.3.59,3.0,0.0,0.012309729999998353,123154.61021486278,4.3356969454116494e-07
2077,63.021444205,10.10.3.59,10.10.3.105,MPTCP,80,5201  >  39317 [ACK] Seq=1 Ack=13425 Win=104064 Len=0 TSval=1401755758 TSecr=939775933,2.3638e-05,0,0,0,0,10.10.3.59_10.10.3.105,3.0,0.0,2.3638000001824366e-05,3384381.081048551,5.171095677170822e-07
2078,63.023859637,10.10.3.102,10.10.3.105,MPTCP,80,5201  >  55092 [ACK] Seq=1 Ack=28518 Win=75520 Len=0 TSval=1041647291 TSecr=2010520590,0.091644349,0,0,0,0,10.10.3.102_10.10.3.105,1.0,0.0,0.0024154319999993845,33120.36935836753,0.00026150212499810707
2079,63.024309199,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=42758 Ack=1 Win=64256 Len=2848 TSval=2010520682 TSecr=1041647291",0.0926903575,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,0.00044956200000001445,6539698.6400093995,0.00050073844642078
2080,63.024309518,10.10.3.105,10.10.3.102,MPTCP,2940,"55092  >  5201 [PSH, ACK] Seq=45606 Ack=1 Win=64256 Len=2848 TSval=2010520682 TSecr=1041647291",0.09216735325,0,0,0,0,10.10.3.105_10.10.3.102,1.0,0.0,3.190000015251826e-07,9216300896.374477,0.0006751955834144903
