"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"3039","99.373866350","10.10.3.105","10.10.3.102","MPTCP","80","53912  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2009242427 TSecr=0 WS=128","","","","",""
"3040","99.373902801","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  53912 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1040369325 TSecr=2009242427 WS=128","0.000036451","","","",""
"3072","99.574540293","10.10.3.105","10.10.3.102","MPTCP","88","53912  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2009242628 TSecr=1040369325","0.200637492","","","",""
"3073","99.574540513","10.10.3.105","10.10.3.102","MPTCP","129","53912  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2009242628 TSecr=1040369325","","","","",""
"3074","99.574605953","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  53912 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1040369526 TSecr=2009242628","0.000065440","","","",""
"3075","99.574678747","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  53912 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1040369526 TSecr=2009242628","","","","",""
"3076","99.574694337","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Dup ACK 3074#1] 5201  >  53912 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1040369526 TSecr=2009242628","","","â\234\223","","â\234\223"
"3077","99.576126389","10.10.3.62","10.10.3.102","MPTCP","88","54369  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3346410034 TSecr=0 WS=128","","","","",""
"3078","99.576141268","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  54369 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2493187808 TSecr=3346410034 WS=128","0.000014879","","","",""
"3079","99.587762473","10.10.3.62","10.10.3.102","MPTCP","92","54369  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3346410040 TSecr=2493187808","0.011621205","","","",""
"3080","99.587796140","10.10.3.102","10.10.3.62","MPTCP","80","[TCP Window Update] 5201  >  54369 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=2493187820 TSecr=3346410040","","","","","â\234\223"
"3084","99.774909270","10.10.3.105","10.10.3.102","MPTCP","80","53912  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2009242829 TSecr=1040369526","0.200230523","","","",""
"3085","99.774909466","10.10.3.105","10.10.3.102","MPTCP","76","[TCP Dup ACK 3084#1] 53912  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2009242829 TSecr=1040369526","","","â\234\223","","â\234\223"
"3086","99.775070624","10.10.3.105","10.10.3.102","MPTCP","100","53912  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2009242829 TSecr=1040369526","","","","",""
"3087","99.782269027","10.10.3.105","10.10.3.59","MPTCP","88","44971  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=938498161 TSecr=0 WS=128","","","","",""
"3088","99.817176511","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  53912 [ACK] Seq=2 Ack=42 Win=65152 Len=0 TSval=1040369769 TSecr=2009242829","0.042105887","","","",""
"3089","99.982329737","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  44971 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1400478112 TSecr=938498161 WS=128","0.200060710","","","",""
"3090","100.017640251","10.10.3.105","10.10.3.102","MPTCP","196","53912  >  5201 [PSH, ACK] Seq=42 Ack=2 Win=64256 Len=100 TSval=2009243071 TSecr=1040369769","","","","",""
"3091","100.017660397","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  53912 [ACK] Seq=2 Ack=142 Win=65280 Len=0 TSval=1040369969 TSecr=2009243071","0.000020146","","","",""
"3092","100.017735230","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  53912 [PSH, ACK] Seq=2 Ack=142 Win=65280 Len=1 TSval=1040369969 TSecr=2009243071","","","","",""
"3098","100.191412133","10.10.3.105","10.10.3.59","MPTCP","92","44971  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=938498576 TSecr=1400478112","0.209082396","","","",""
"3109","100.218293275","10.10.3.105","10.10.3.102","MPTCP","80","53914  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2009243272 TSecr=0 WS=128","","","","",""
"3110","100.218307691","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  53914 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1040370170 TSecr=2009243272 WS=128","0.000014416","","","",""
"3111","100.221244222","10.10.3.102","10.10.3.62","MPTCP","97","5201  >  54369 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=1 TSval=2493188454 TSecr=3346410040","","","","",""
"3115","100.228304129","10.10.3.62","10.10.3.102","MPTCP","80","54369  >  5201 [ACK] Seq=1 Ack=2 Win=64256 Len=0 TSval=3346410683 TSecr=2493188454","0.007059907","","","",""
"3125","100.258853434","10.10.3.105","10.10.3.102","MPTCP","80","53912  >  5201 [ACK] Seq=142 Ack=3 Win=64256 Len=0 TSval=2009243313 TSecr=1040369969","0.241118204","","","",""
"3128","100.391520305","10.10.3.59","10.10.3.105","MPTCP","80","[TCP Window Update] 5201  >  44971 [ACK] Seq=1 Ack=1 Win=65280 Len=0 TSval=1400478521 TSecr=938498576","","","","","â\234\223"
"3134","100.418697606","10.10.3.105","10.10.3.102","MPTCP","88","53914  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2009243472 TSecr=1040370170","0.200389915","","","",""
"3135","100.418697903","10.10.3.105","10.10.3.102","MPTCP","129","53914  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2009243472 TSecr=1040370170","","","","",""
"3136","100.418766925","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  53914 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1040370370 TSecr=2009243472","0.000069022","","","",""
