"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"4476","93.266546715","10.10.3.105","10.10.3.102","MPTCP","80","36486  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2007965769 TSecr=0 WS=128","","","","",""
"4477","93.266609621","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  36486 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039092466 TSecr=2007965769 WS=128","0.000062906","","","",""
"4499","94.278474176","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 36486  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2007966781 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"4500","94.278518295","10.10.3.102","10.10.3.105","MPTCP","88","[TCP Retransmission] 5201  >  36486 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039093478 TSecr=2007965769 WS=128","0.000044119","","","â\234\223","â\234\223"
"4506","95.302092820","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 36486  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2007967805 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"4512","96.326262483","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 36486  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2007968829 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"4513","96.326306082","10.10.3.102","10.10.3.105","MPTCP","88","[TCP Retransmission] 5201  >  36486 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039095526 TSecr=2007965769 WS=128","1.024213262","","","â\234\223","â\234\223"
"4605","97.350094329","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 36486  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2007969853 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"4606","97.350118547","10.10.3.102","10.10.3.105","MPTCP","88","[TCP Retransmission] 5201  >  36486 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039096550 TSecr=2007965769 WS=128","0.000024218","","","â\234\223","â\234\223"
"4649","98.374432182","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 36486  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2007970877 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"4650","98.374455929","10.10.3.102","10.10.3.105","MPTCP","88","[TCP Retransmission] 5201  >  36486 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039097574 TSecr=2007965769 WS=128","0.000023747","","","â\234\223","â\234\223"
"4651","98.374896362","10.10.3.105","10.10.3.102","MPTCP","88","36486  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2007970877 TSecr=1039097574","5.108286741","","","",""
"4652","98.374896638","10.10.3.105","10.10.3.102","MPTCP","129","36486  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2007970877 TSecr=1039097574","","","","",""
"4653","98.374958972","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  36486 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039097575 TSecr=2007970877","0.000062334","","","",""
"4654","98.374976105","10.10.3.102","10.10.3.105","MPTCP","84","5201  >  36486 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039097575 TSecr=2007970877","","","","",""
"4655","98.375028989","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  36486 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1039097575 TSecr=2007970877","","","","",""
"4656","98.375121979","10.10.3.105","10.10.3.102","MPTCP","76","36486  >  5201 [ACK] Seq=38 Ack=1 Win=64256 Len=0 TSval=2007970878 TSecr=1039097575","","","","",""
"4657","98.375157283","10.10.3.105","10.10.3.102","MPTCP","80","36486  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2007970878 TSecr=1039097575","0.000128294","","","",""
"4658","98.375361699","10.10.3.105","10.10.3.102","MPTCP","100","36486  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2007970878 TSecr=1039097575","","","","",""
"4659","98.378006303","10.10.3.62","10.10.3.102","MPTCP","88","47929  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3345138083 TSecr=0 WS=128","","","","",""
"4660","98.378038072","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  47929 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2491915859 TSecr=3345138083 WS=128","0.000031769","","","",""
