"No.","Time","Source","Destination","Protocol","Length","Info","RTT","Lost Segement","Duplicate ","Retransmission","IDK"
"2388","61.512324568","10.10.3.105","10.10.3.102","MPTCP","80","46396  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008618275 TSecr=0 WS=128","","","","",""
"2389","61.512386568","10.10.3.102","10.10.3.105","MPTCP","88","5201  >  46396 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039744971 TSecr=2008618275 WS=128","0.000062000","","","",""
"2398","62.530171640","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 46396  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008619293 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"2399","62.530217464","10.10.3.102","10.10.3.105","MPTCP","88","[TCP Retransmission] 5201  >  46396 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039745988 TSecr=2008618275 WS=128","0.000045824","","","â\234\223","â\234\223"
"2409","63.554002312","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 46396  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008620317 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"2410","63.554048580","10.10.3.102","10.10.3.105","MPTCP","88","[TCP Retransmission] 5201  >  46396 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039747012 TSecr=2008618275 WS=128","0.000046268","","","â\234\223","â\234\223"
"2417","64.577911063","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 46396  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008621341 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"2418","64.577960222","10.10.3.102","10.10.3.105","MPTCP","88","[TCP Retransmission] 5201  >  46396 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039748036 TSecr=2008618275 WS=128","0.000049159","","","â\234\223","â\234\223"
"2517","65.601983744","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 46396  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008622365 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"2518","65.602023933","10.10.3.102","10.10.3.105","MPTCP","88","[TCP Retransmission] 5201  >  46396 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039749060 TSecr=2008618275 WS=128","0.000040189","","","â\234\223","â\234\223"
"2606","66.626174835","10.10.3.105","10.10.3.102","MPTCP","80","[TCP Retransmission] [TCP Port numbers reused] 46396  >  5201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=2008623389 TSecr=0 WS=128","","","","â\234\223","â\234\223"
"2607","66.626219063","10.10.3.102","10.10.3.105","MPTCP","88","[TCP Retransmission] 5201  >  46396 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1039750084 TSecr=2008618275 WS=128","0.000044228","","","â\234\223","â\234\223"
"2608","66.626413049","10.10.3.105","10.10.3.102","MPTCP","88","46396  >  5201 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=2008623389 TSecr=1039750084","5.114026481","","","",""
"2609","66.626513554","10.10.3.105","10.10.3.102","MPTCP","129","46396  >  5201 [PSH, ACK] Seq=1 Ack=1 Win=64256 Len=37 TSval=2008623389 TSecr=1039750084","","","","",""
"2610","66.626532318","10.10.3.102","10.10.3.105","MPTCP","80","5201  >  46396 [ACK] Seq=1 Ack=38 Win=65152 Len=0 TSval=1039750085 TSecr=2008623389","0.000018764","","","",""
"2611","66.626594854","10.10.3.102","10.10.3.105","MPTCP","97","5201  >  46396 [PSH, ACK] Seq=1 Ack=38 Win=65152 Len=1 TSval=1039750085 TSecr=2008623389","","","","",""
"2612","66.626629557","10.10.3.102","10.10.3.105","MPTCP","84","[TCP Dup ACK 2610#1] 5201  >  46396 [ACK] Seq=2 Ack=38 Win=65152 Len=0 TSval=1039750085 TSecr=2008623389","","","â\234\223","","â\234\223"
"2613","66.626681955","10.10.3.105","10.10.3.102","MPTCP","80","46396  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2008623389 TSecr=1039750085","0.000087101","","","",""
"2614","66.626739805","10.10.3.105","10.10.3.102","MPTCP","76","[TCP Dup ACK 2613#1] 46396  >  5201 [ACK] Seq=38 Ack=2 Win=64256 Len=0 TSval=2008623389 TSecr=1039750085","","","â\234\223","","â\234\223"
"2615","66.626895649","10.10.3.105","10.10.3.102","MPTCP","100","46396  >  5201 [PSH, ACK] Seq=38 Ack=2 Win=64256 Len=4 TSval=2008623390 TSecr=1039750085","","","","",""
"2616","66.627478737","10.10.3.62","10.10.3.102","MPTCP","88","43203  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=3345790594 TSecr=0 WS=128","","","","",""
"2617","66.627512232","10.10.3.102","10.10.3.62","MPTCP","92","5201  >  43203 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=2492568367 TSecr=3345790594 WS=128","0.000033495","","","",""
"2618","66.627979963","10.10.3.105","10.10.3.59","MPTCP","88","51439  >  5201 [SYN] Seq=0 Win=64256 Len=0 MSS=1460 SACK_PERM=1 TSval=937878721 TSecr=0 WS=128","","","","",""
"2619","66.628018440","10.10.3.59","10.10.3.105","MPTCP","92","5201  >  51439 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1399858464 TSecr=937878721 WS=128","0.000038477","","","",""
